state,abbreviation,date,cases
Kansas,KS,2020-03-17,18
Kansas,KS,2020-03-18,18
Kansas,KS,2020-03-19,34
Kansas,KS,2020-03-20,44
Kansas,KS,2020-03-21,57
Kansas,KS,2020-03-22,64
Kentucky,KY,2020-01-22,0
Kentucky,KY,2020-01-23,0
Kentucky,KY,2020-01-24,0
Kentucky,KY,2020-01-25,0
Kentucky,KY,2020-01-26,0
Kentucky,KY,2020-01-27,0
Kentucky,KY,2020-01-28,0
Kentucky,KY,2020-01-29,0
Kentucky,KY,2020-01-30,0
Kentucky,KY,2020-01-31,0
Kentucky,KY,2020-02-01,0
Kentucky,KY,2020-02-02,0
Kentucky,KY,2020-02-03,0
Kentucky,KY,2020-02-04,0
Kentucky,KY,2020-02-05,0
Kentucky,KY,2020-02-06,0
Kentucky,KY,2020-02-07,0
Kentucky,KY,2020-02-08,0
Kentucky,KY,2020-02-09,0
Kentucky,KY,2020-02-10,0
Kentucky,KY,2020-02-11,0
Kentucky,KY,2020-02-12,0
Kentucky,KY,2020-02-13,0
Kentucky,KY,2020-02-14,0
Kentucky,KY,2020-02-15,0
Kentucky,KY,2020-02-16,0
Kentucky,KY,2020-02-17,0
Kentucky,KY,2020-02-18,0
Kentucky,KY,2020-02-19,0
Kentucky,KY,2020-02-20,0
Kentucky,KY,2020-02-21,0
Kentucky,KY,2020-02-22,0
Kentucky,KY,2020-02-23,0
Kentucky,KY,2020-02-24,0
Kentucky,KY,2020-02-25,0
Kentucky,KY,2020-02-26,0
Kentucky,KY,2020-02-27,0
Kentucky,KY,2020-02-28,0
Kentucky,KY,2020-02-29,0
Kentucky,KY,2020-03-01,0
Kentucky,KY,2020-03-02,0
Kentucky,KY,2020-03-03,0
Kentucky,KY,2020-03-04,0
Kentucky,KY,2020-03-05,0
Kentucky,KY,2020-03-06,0
Kentucky,KY,2020-03-07,0
Kentucky,KY,2020-03-08,0
Kentucky,KY,2020-03-09,0
Kentucky,KY,2020-03-10,6
Kentucky,KY,2020-03-11,8
Kentucky,KY,2020-03-12,10
Kentucky,KY,2020-03-13,14
Kentucky,KY,2020-03-14,14
Kentucky,KY,2020-03-15,20
Kentucky,KY,2020-03-16,21
Kentucky,KY,2020-03-17,26
Kentucky,KY,2020-03-18,27
Kentucky,KY,2020-03-19,37
Kentucky,KY,2020-03-20,47
Kentucky,KY,2020-03-21,87
Kentucky,KY,2020-03-22,99
Louisiana,LA,2020-01-22,0
Louisiana,LA,2020-01-23,0
Louisiana,LA,2020-01-24,0
Louisiana,LA,2020-01-25,0
Louisiana,LA,2020-01-26,0
Louisiana,LA,2020-01-27,0
Louisiana,LA,2020-01-28,0
Louisiana,LA,2020-01-29,0
Louisiana,LA,2020-01-30,0
Louisiana,LA,2020-01-31,0
Louisiana,LA,2020-02-01,0
Louisiana,LA,2020-02-02,0
Louisiana,LA,2020-02-03,0
Louisiana,LA,2020-02-04,0
Louisiana,LA,2020-02-05,0
Louisiana,LA,2020-02-06,0
Louisiana,LA,2020-02-07,0
Louisiana,LA,2020-02-08,0
Louisiana,LA,2020-02-09,0
Louisiana,LA,2020-02-10,0
Louisiana,LA,2020-02-11,0
Louisiana,LA,2020-02-12,0
Louisiana,LA,2020-02-13,0
Louisiana,LA,2020-02-14,0
Louisiana,LA,2020-02-15,0
Louisiana,LA,2020-02-16,0
Louisiana,LA,2020-02-17,0
Louisiana,LA,2020-02-18,0
Louisiana,LA,2020-02-19,0
Louisiana,LA,2020-02-20,0
Louisiana,LA,2020-02-21,0
Louisiana,LA,2020-02-22,0
Louisiana,LA,2020-02-23,0
Louisiana,LA,2020-02-24,0
Louisiana,LA,2020-02-25,0
Louisiana,LA,2020-02-26,0
Louisiana,LA,2020-02-27,0
Louisiana,LA,2020-02-28,0
Louisiana,LA,2020-02-29,0
Louisiana,LA,2020-03-01,0
Louisiana,LA,2020-03-02,0
Louisiana,LA,2020-03-03,0
Louisiana,LA,2020-03-04,0
Louisiana,LA,2020-03-05,0
Louisiana,LA,2020-03-06,0
Louisiana,LA,2020-03-07,0
Louisiana,LA,2020-03-08,0
Louisiana,LA,2020-03-09,0
Louisiana,LA,2020-03-10,1
Louisiana,LA,2020-03-11,6
Louisiana,LA,2020-03-12,19
Louisiana,LA,2020-03-13,36
Louisiana,LA,2020-03-14,77
